review_id,corpus,case_id,case_event_count,deterministic_findings,hypothesis,cited_event_ids,cited_event_count,cited_event_descriptions,cited_ids_not_cited_by_deterministic_pass,new_cited_id_count,cited_ids_absent_from_corpus_tables
R001,flaws_cloud,CASE-018,10,"AWS-003 [HIGH] 'backup' made 35 read calls across 10 distinct services in 53s, 21 of them refused for want of authority (60%). Breadth with no permission behind it is enumeration rather than administration. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-110341 cloudtrail-control-110344 cloudtrail-control-110347 cloudtrail-control-110350 cloudtrail-control-110351 cloudtrail-control-110352 cloudtrail-control-110353 cloudtrail-control-110355 cloudtrail-control-110356 cloudtrail-control-110357)","iam:account-summary being the earliest event in the band suggests the session opened by establishing the account's identity posture and quota/limit context before fanning out to service inventory. That ordering — capability check first, resource sweep second — is the characteristic opening move of automated AWS enumeration frameworks (e.g. Pacu, ScoutSuite, CloudFox) as well as of legitimate CSPM baseline scans.",cloudtrail-control-110341 cloudtrail-control-110344 cloudtrail-control-110347,3,cloudtrail-control-110341 @ 2018-08-02 07:04:50+00:00 [aws:811596193553/us-east-1 / backup] backup get iam:account-summary [denied] (already cited: yes) || cloudtrail-control-110344 @ 2018-08-02 07:04:52+00:00 [aws:811596193553/us-east-1 / backup] backup describe ec2:image [allowed] (already cited: yes) || cloudtrail-control-110347 @ 2018-08-02 07:04:56+00:00 [aws:811596193553/us-east-1 / backup] backup describe rds:db-instance [denied] (already cited: yes),,0,
R002,flaws_cloud,CASE-065,29,"AWS-003 [MEDIUM] 'Level6' made 1808 read calls across 20 distinct services in 316s, 282 of them refused (16%). Breadth on this scale is consistent with account enumeration, and is also exactly what inventory and compliance tooling does. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-224294 cloudtrail-control-224300 cloudtrail-control-224346 cloudtrail-control-224351 cloudtrail-control-224356 cloudtrail-control-224384 cloudtrail-control-224412 cloudtrail-control-224446 cloudtrail-control-224468 cloudtrail-control-224532 cloudtrail-control-224570 cloudtrail-control-224571 cloudtrail-control-224660 cloudtrail-control-224922 cloudtrail-control-225017 cloudtrail-control-225128 cloudtrail-control-225208 cloudtrail-control-225228 cloudtrail-control-225236 cloudtrail-control-225366) || AWS-004 [HIGH] 'Level6' was refused authorization 282 times in 307s, across 13 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-224294 cloudtrail-control-224468 cloudtrail-control-224469 cloudtrail-control-224696 cloudtrail-control-225208 cloudtrail-control-225228 cloudtrail-control-225510 cloudtrail-control-225648 cloudtrail-control-225649 cloudtrail-control-225650 cloudtrail-control-225651 cloudtrail-control-225652 cloudtrail-control-225659)","An alternative benign reading is that 'Level6' is a shared training/lab or CTF-style account: the naming convention, the very high authentication failure ratio, and a short broad read-only sweep with many denials are equally consistent with repeated enumeration exercises against a deliberately restricted credential. Account ownership and purpose should be established before escalating.",cloudtrail-logon-000144 cloudtrail-control-224294 cloudtrail-control-225366,3,cloudtrail-logon-000144 @ 2017-02-28 07:58:45+00:00 [aws:811596193553/us-east-1 / Level6] success logon [Unknown] from 137.53.124.9 (already cited: no) || cloudtrail-control-224294 @ 2019-06-06 11:26:57+00:00 [aws:811596193553/us-west-2 / Level6] Level6 get apigateway:rest-apis [denied] (already cited: yes) || cloudtrail-control-225366 @ 2019-06-06 11:31:48+00:00 [aws:811596193553/ap-northeast-1 / Level6] Level6 list elasticmapreduce:cluster [allowed] (already cited: yes),cloudtrail-logon-000144,1,
R003,flaws_cloud,CASE-256,32,"AWS-003 [MEDIUM] 'Level6' made 671 read calls across 21 distinct services in 550s, 196 of them refused (29%). Breadth on this scale is consistent with account enumeration, and is also exactly what inventory and compliance tooling does. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-1817072 cloudtrail-control-1817082 cloudtrail-control-1817085 cloudtrail-control-1817088 cloudtrail-control-1817159 cloudtrail-control-1817175 cloudtrail-control-1817217 cloudtrail-control-1817317 cloudtrail-control-1817318 cloudtrail-control-1817321 cloudtrail-control-1817323 cloudtrail-control-1817324 cloudtrail-control-1817351 cloudtrail-control-1817352 cloudtrail-control-1817356 cloudtrail-control-1817358 cloudtrail-control-1817359 cloudtrail-control-1817361 cloudtrail-control-1817365 cloudtrail-control-1817368) || AWS-004 [HIGH] 'Level6' was refused authorization 196 times in 241s, across 17 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-1817217 cloudtrail-control-1817246 cloudtrail-control-1817318 cloudtrail-control-1817322 cloudtrail-control-1817358 cloudtrail-control-1817365 cloudtrail-control-1817368 cloudtrail-control-1817369 cloudtrail-control-1817371 cloudtrail-control-1817372 cloudtrail-control-1817373 cloudtrail-control-1817374 cloudtrail-control-1817375 cloudtrail-control-1817376 cloudtrail-control-1817377 cloudtrail-control-1817378 cloudtrail-control-1817466)","The benign 'inventory/compliance tooling' explanation offered for AWS-003 is weakened by the identity's authentication profile: account 'Level6' shows 5285 failed versus 61 successful authentications (~98.9% failure), which is atypical for sanctioned tooling operating with provisioned credentials and more consistent with credential guessing or a misconfigured/unauthorized client.",cloudtrail-logon-000144 cloudtrail-logon-018192 cloudtrail-logon-046949 cloudtrail-control-1817072 cloudtrail-control-1817217,5,cloudtrail-logon-000144 @ 2017-02-28 07:58:45+00:00 [aws:811596193553/us-east-1 / Level6] success logon [Unknown] from 137.53.124.9 (already cited: no) || cloudtrail-logon-018192 @ 2018-02-24 12:49:58+00:00 [aws:811596193553/us-east-1 / Level6] failure logon [Unknown] from 245.181.7.4 reason=User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/service-role/Level6 (already cited: no) || cloudtrail-logon-046949 @ 2019-03-07 20:35:36+00:00 [aws:811596193553/us-east-1 / Level6] failure logon [Unknown] from 2.231.90.242 reason=Not authorized to perform sts:AssumeRole (already cited: no) || cloudtrail-control-1817072 @ 2020-09-21 03:54:58+00:00 [aws:811596193553/us-east-1 / Level6] Level6 list iam:user [allowed] (already cited: yes) || cloudtrail-control-1817217 @ 2020-09-21 04:00:07+00:00 [aws:811596193553/us-east-1 / Level6] Level6 get s3:account-public-access-block [denied] (already cited: yes),cloudtrail-logon-000144 cloudtrail-logon-018192 cloudtrail-logon-046949,3,
R004,synthetic:INC-005,CASE-001,2,"K8S-001 [HIGH] 'system:serviceaccount:ci:ci-deployer' created clusterrolebindings 'ci-runner-escalation', granting the maximally-privileged role 'cluster-admin' to 'system:serviceaccount:ci:ci-runner'. Very few legitimate workloads need this level of access, and the grantor is not a superuser, so this grant confers standing the grantor did not itself hold; it is worth review even when the grantor is an ordinary administrative account. (events: k8s-control-000003) || K8S-002 [CRITICAL] 'system:serviceaccount:ci:ci-runner' was granted the 'cluster-admin' role 149s before exec'ing into pod 'web-1' (namespace 'prod'). A freshly-escalated identity acting on that escalation shortly after receiving it is consistent with the grant being used for exploration or post-exploitation access rather than left dormant. (events: k8s-control-000003 k8s-control-000004)","The 149-second grant-to-use interval and the clean two-step sequence are more consistent with scripted or pipeline-driven execution than with interactive human operation; conversely, the same pattern would be produced by a legitimate but over-permissioned CI deployment job, so automation alone does not distinguish malicious from benign.",k8s-control-000003 k8s-control-000004,2,k8s-control-000003 @ 2026-08-17 09:20:00.040000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-deployer create clusterrolebindings (ci-runner-escalation) -> system:serviceaccount:ci:ci-runner [allowed] (already cited: yes) || k8s-control-000004 @ 2026-08-17 09:22:30.015000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-runner exec pods/exec (web-1) [allowed] (already cited: yes),,0,
R005,flaws_cloud,CASE-005,54,"ATH-005 [CRITICAL] 53 failed logons for 'SecurityMokey' on aws:811596193553/us-east-1 from 255.253.125.115 within 247s. A successful logon followed at 22:26:48, -148s after the last failure. This may indicate the credential was successfully guessed and the account is now compromised. (events: cloudtrail-logon-002652 cloudtrail-logon-002653 cloudtrail-logon-002654 cloudtrail-logon-002655 cloudtrail-logon-002656 cloudtrail-logon-002657 cloudtrail-logon-002658 cloudtrail-logon-002659 cloudtrail-logon-002660 cloudtrail-logon-002661 cloudtrail-logon-002665 cloudtrail-logon-002664 cloudtrail-logon-002662 cloudtrail-logon-002663 cloudtrail-logon-002666 cloudtrail-logon-002667 cloudtrail-logon-002668 cloudtrail-logon-002669 cloudtrail-logon-002670 cloudtrail-logon-002671 cloudtrail-logon-002672 cloudtrail-logon-002673 cloudtrail-logon-002674 cloudtrail-logon-002676 cloudtrail-logon-002675 cloudtrail-logon-002683 cloudtrail-logon-002685 cloudtrail-logon-002689 cloudtrail-logon-002696 cloudtrail-logon-002698 cloudtrail-logon-002700 cloudtrail-logon-002709 cloudtrail-logon-002713 cloudtrail-logon-002727 cloudtrail-logon-002730 cloudtrail-logon-002734 cloudtrail-logon-002738 cloudtrail-logon-002739 cloudtrail-logon-002746 cloudtrail-logon-002749 cloudtrail-logon-002754 cloudtrail-logon-002760 cloudtrail-logon-002763 cloudtrail-logon-002764 cloudtrail-logon-002772 cloudtrail-logon-002778 cloudtrail-logon-002779 cloudtrail-logon-002786 cloudtrail-logon-002791 cloudtrail-logon-002809 cloudtrail-logon-002811 cloudtrail-logon-002815 cloudtrail-logon-002820 cloudtrail-logon-002822)",Only 53 failures preceding success suggests the guessing was targeted (short curated wordlist or credential-stuffing from a prior leak) rather than exhaustive brute force; an exhaustive attack against a non-trivial password would be expected to generate orders of magnitude more failures.,cloudtrail-logon-002652 cloudtrail-logon-002676 cloudtrail-logon-002754 cloudtrail-logon-002791 cloudtrail-logon-002822,5,cloudtrail-logon-002652 @ 2017-05-26 22:25:09+00:00 [aws:811596193553/us-east-1 / SecurityMokey] failure logon [Unknown] from 255.253.125.115 reason=User: arn:aws:iam::811596193553:user/SecurityMokey is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/SecurityMonkey (already cited: yes) || cloudtrail-logon-002676 @ 2017-05-26 22:26:48+00:00 [aws:811596193553/us-east-1 / SecurityMokey] failure logon [Unknown] from 255.253.125.115 reason=User: arn:aws:iam::811596193553:user/SecurityMokey is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/SecurityMonkey (already cited: yes) || cloudtrail-logon-002754 @ 2017-05-26 22:27:52+00:00 [aws:811596193553/us-east-1 / SecurityMokey] failure logon [Unknown] from 255.253.125.115 reason=User: arn:aws:iam::811596193553:user/SecurityMokey is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/SecurityMonkey (already cited: yes) || cloudtrail-logon-002791 @ 2017-05-26 22:28:27+00:00 [aws:811596193553/us-east-1 / SecurityMokey] failure logon [Unknown] from 255.253.125.115 reason=User: arn:aws:iam::811596193553:user/SecurityMokey is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/SecurityMonkey (already cited: yes) || cloudtrail-logon-002822 @ 2017-05-26 22:29:16+00:00 [aws:811596193553/us-east-1 / SecurityMokey] failure logon [Unknown] from 255.253.125.115 reason=User: arn:aws:iam::811596193553:user/SecurityMokey is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/SecurityMonkey (already cited: yes),,0,
R006,synthetic:INC-004,CASE-001,6,ATH-012 [CRITICAL] 3 distinct security-control change(s) on PC03 by 'achen': Defender real-time monitoring disabled; a Defender scanning exclusion was added; a security product process was terminated. A single change is often administrative; several in one window is the shape of an attacker clearing the way for what comes next. (events: evt-000901 evt-000905 evt-000909) || ATH-011 [CRITICAL] 3 distinct recovery control(s) were destroyed on PC03 by 'achen': Windows backup catalog deleted; boot-time recovery disabled; volume shadow copies deleted. Destroying recovery paths removes the ability to roll back and commonly immediately precedes encryption. (events: evt-000922 evt-000925 evt-000927),"Because 'achen' successfully authenticated from PC03 to APP01 and FS02, the same credentials could be reused to stage the identical defense-disable plus recovery-destruction sequence on those hosts; APP01 and FS02 should be triaged for the same three Defender changes and the same three recovery deletions.",evt-000027 evt-000085 evt-000090 evt-000901 evt-000905 evt-000909 evt-000922 evt-000925 evt-000927,9,evt-000027 @ 2026-08-17 08:00:26+00:00 [FS02 / achen] success logon [Network (SMB / share access)] from 10.10.20.17 (already cited: no) || evt-000085 @ 2026-08-17 08:14:29+00:00 [APP01 / achen] success logon [Network (SMB / share access)] from 10.10.20.17 (already cited: no) || evt-000090 @ 2026-08-17 08:14:58+00:00 [APP01 / achen] success logon [Network (SMB / share access)] from 10.10.20.17 (already cited: no) || evt-000901 @ 2026-08-17 11:12:00+00:00 [PC03 / achen] cmd.exe -> powershell.exe | powershell.exe -nop -w hidden Set-MpPreference -DisableRealtimeMonitoring $true (already cited: yes) || evt-000905 @ 2026-08-17 11:12:35+00:00 [PC03 / achen] cmd.exe -> powershell.exe | powershell.exe Add-MpPreference -ExclusionPath C:\ProgramData\svc (already cited: yes) || evt-000909 @ 2026-08-17 11:13:10+00:00 [PC03 / achen] cmd.exe -> taskkill.exe | taskkill.exe /F /IM MsMpEng.exe (already cited: yes) || evt-000922 @ 2026-08-17 11:14:30+00:00 [PC03 / achen] cmd.exe -> vssadmin.exe | vssadmin.exe delete shadows /all /quiet (already cited: yes) || evt-000925 @ 2026-08-17 11:15:05+00:00 [PC03 / achen] cmd.exe -> wbadmin.exe | wbadmin.exe delete catalog -quiet (already cited: yes) || evt-000927 @ 2026-08-17 11:15:40+00:00 [PC03 / achen] cmd.exe -> bcdedit.exe | bcdedit.exe /set {default} recoveryenabled no (already cited: yes),evt-000027 evt-000085 evt-000090,3,
R007,flaws_cloud,CASE-065,29,"AWS-003 [MEDIUM] 'Level6' made 1808 read calls across 20 distinct services in 316s, 282 of them refused (16%). Breadth on this scale is consistent with account enumeration, and is also exactly what inventory and compliance tooling does. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-224294 cloudtrail-control-224300 cloudtrail-control-224346 cloudtrail-control-224351 cloudtrail-control-224356 cloudtrail-control-224384 cloudtrail-control-224412 cloudtrail-control-224446 cloudtrail-control-224468 cloudtrail-control-224532 cloudtrail-control-224570 cloudtrail-control-224571 cloudtrail-control-224660 cloudtrail-control-224922 cloudtrail-control-225017 cloudtrail-control-225128 cloudtrail-control-225208 cloudtrail-control-225228 cloudtrail-control-225236 cloudtrail-control-225366) || AWS-004 [HIGH] 'Level6' was refused authorization 282 times in 307s, across 13 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-224294 cloudtrail-control-224468 cloudtrail-control-224469 cloudtrail-control-224696 cloudtrail-control-225208 cloudtrail-control-225228 cloudtrail-control-225510 cloudtrail-control-225648 cloudtrail-control-225649 cloudtrail-control-225650 cloudtrail-control-225651 cloudtrail-control-225652 cloudtrail-control-225659)","The full pattern — an sts:GetCallerIdentity call to establish credential context, followed by breadth-first list/describe sweeps across ~20 unrelated services, then a fixed per-bucket S3 configuration checklist — matches the execution profile of an off-the-shelf multi-service auditing tool (e.g. ScoutSuite, Prowler, CloudMapper) rather than hand-typed reconnaissance. This would explain both the service breadth in AWS-003 and the authorization refusals in AWS-004 as the tool probing checks the credential is not entitled to.",cloudtrail-control-224300 cloudtrail-control-224346 cloudtrail-control-224412 cloudtrail-control-224468 cloudtrail-control-224469 cloudtrail-control-225510 cloudtrail-control-225648 cloudtrail-control-225652,8,cloudtrail-control-224300 @ 2019-06-06 11:30:41+00:00 [aws:811596193553/us-east-1 / Level6] Level6 get sts:caller-identity [allowed] (already cited: yes) || cloudtrail-control-224346 @ 2019-06-06 11:31:05+00:00 [aws:811596193553/ap-northeast-1 / Level6] Level6 list cloudformation:stack [allowed] (already cited: yes) || cloudtrail-control-224412 @ 2019-06-06 11:31:08+00:00 [aws:811596193553/ap-northeast-1 / Level6] Level6 describe cloudtrail:trail [allowed] (already cited: yes) || cloudtrail-control-224468 @ 2019-06-06 11:31:11+00:00 [aws:811596193553/ap-northeast-1 / Level6] Level6 describe config:configuration-recorder [denied] (already cited: yes) || cloudtrail-control-224469 @ 2019-06-06 11:31:11+00:00 [aws:811596193553/ap-northeast-1 / Level6] Level6 describe config:config-rule [denied] (already cited: yes) || cloudtrail-control-225510 @ 2019-06-06 11:31:53+00:00 [aws:811596193553/ap-northeast-1 / Level6] Level6 describe config:configuration-recorder-status [denied] (already cited: yes) || cloudtrail-control-225648 @ 2019-06-06 11:31:59+00:00 [aws:811596193553/us-west-2 / Level6] Level6 get s3:bucket-acl (b5677c799b465420d8e7b0a6689a0bb0c4afbc9e.flaws.cloud) [denied] (already cited: yes) || cloudtrail-control-225652 @ 2019-06-06 11:31:59+00:00 [aws:811596193553/us-west-2 / Level6] Level6 get s3:bucket-logging (b5677c799b465420d8e7b0a6689a0bb0c4afbc9e.flaws.cloud) [denied] (already cited: yes),,0,
R008,flaws_cloud,CASE-050,34,"AWS-003 [HIGH] 'backup' made 720 read calls across 87 distinct services in 596s, 498 of them refused for want of authority (69%). Breadth with no permission behind it is enumeration rather than administration. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-189268 cloudtrail-control-189271 cloudtrail-control-189274 cloudtrail-control-189276 cloudtrail-control-189278 cloudtrail-control-189290 cloudtrail-control-189293 cloudtrail-control-189312 cloudtrail-control-189320 cloudtrail-control-189322 cloudtrail-control-189323 cloudtrail-control-189330 cloudtrail-control-189336 cloudtrail-control-189350 cloudtrail-control-189352 cloudtrail-control-189358 cloudtrail-control-189359 cloudtrail-control-189368 cloudtrail-control-189370 cloudtrail-control-189378) || AWS-004 [HIGH] 'backup' was refused authorization 506 times in 161s, across 245 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-189271 cloudtrail-control-189274 cloudtrail-control-189276 cloudtrail-control-189278 cloudtrail-control-189279 cloudtrail-control-189280 cloudtrail-control-189281 cloudtrail-control-189286 cloudtrail-control-189287 cloudtrail-control-189290 cloudtrail-control-189291 cloudtrail-control-189292 cloudtrail-control-189293 cloudtrail-control-189294 cloudtrail-control-189300 cloudtrail-control-189301 cloudtrail-control-189302 cloudtrail-control-189303 cloudtrail-control-189304 cloudtrail-control-189305)","The combination of high denial volume (AWS-004) with broad enumeration (AWS-003) argues against the benign compliance-scanner explanation that the existing claims correctly flag as an alternative. Sanctioned scanners (Prowler, Scout Suite, Security Hub) are normally granted SecurityAudit or ReadOnlyAccess and therefore succeed on most read calls; a sweep that is refused repeatedly across many service families suggests the caller did not know what the credential was entitled to and was probing blindly. This is a discriminator, not proof — a scanner deployed with a broken or partially-attached policy produces the same pattern.",cloudtrail-control-189279 cloudtrail-control-189280 cloudtrail-control-189281 cloudtrail-control-189286 cloudtrail-control-189287 cloudtrail-control-189291 cloudtrail-control-189292 cloudtrail-control-189294 cloudtrail-control-189300 cloudtrail-control-189301,10,cloudtrail-control-189279 @ 2019-04-05 09:22:15+00:00 [aws:811596193553/us-east-1 / backup] backup get apigateway:rest-apis [denied] (already cited: yes) || cloudtrail-control-189280 @ 2019-04-05 09:22:15+00:00 [aws:811596193553/us-east-1 / backup] backup get apigateway:client-certificate [denied] (already cited: yes) || cloudtrail-control-189281 @ 2019-04-05 09:22:15+00:00 [aws:811596193553/us-east-1 / backup] backup get apigateway:api-key [denied] (already cited: yes) || cloudtrail-control-189286 @ 2019-04-05 09:22:16+00:00 [aws:811596193553/us-east-1 / backup] backup get apigateway:sdk-type [denied] (already cited: yes) || cloudtrail-control-189287 @ 2019-04-05 09:22:16+00:00 [aws:811596193553/us-east-1 / backup] backup get apigateway:usage-plan [denied] (already cited: yes) || cloudtrail-control-189291 @ 2019-04-05 09:22:19+00:00 [aws:811596193553/us-east-1 / backup] backup describe autoscaling:adjustment-type [denied] (already cited: yes) || cloudtrail-control-189292 @ 2019-04-05 09:22:19+00:00 [aws:811596193553/us-east-1 / backup] backup describe autoscaling:account-limit [denied] (already cited: yes) || cloudtrail-control-189294 @ 2019-04-05 09:22:19+00:00 [aws:811596193553/us-east-1 / backup] backup list athena:query-execution [denied] (already cited: yes) || cloudtrail-control-189300 @ 2019-04-05 09:22:20+00:00 [aws:811596193553/us-east-1 / backup] backup describe autoscaling:termination-policy-type [denied] (already cited: yes) || cloudtrail-control-189301 @ 2019-04-05 09:22:20+00:00 [aws:811596193553/us-east-1 / backup] backup describe autoscaling:tag [denied] (already cited: yes),,0,
R009,flaws_cloud,CASE-018,10,"AWS-003 [HIGH] 'backup' made 35 read calls across 10 distinct services in 53s, 21 of them refused for want of authority (60%). Breadth with no permission behind it is enumeration rather than administration. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-110341 cloudtrail-control-110344 cloudtrail-control-110347 cloudtrail-control-110350 cloudtrail-control-110351 cloudtrail-control-110352 cloudtrail-control-110353 cloudtrail-control-110355 cloudtrail-control-110356 cloudtrail-control-110357)","The ambiguity between T1526 and T1580 is resolvable from data the rule discarded: if the 21 denials cluster on compute/network/storage inventory APIs (EC2/RDS/VPC describes) the behaviour is Cloud Infrastructure Discovery (T1580), whereas denials spread evenly as single probes per service favour Cloud Service Discovery (T1526). A per-service breakdown of the 10 services should be retrieved before assigning a technique.",cloudtrail-control-110341 cloudtrail-control-110344 cloudtrail-control-110350 cloudtrail-control-110355 cloudtrail-control-110356,5,cloudtrail-control-110341 @ 2018-08-02 07:04:50+00:00 [aws:811596193553/us-east-1 / backup] backup get iam:account-summary [denied] (already cited: yes) || cloudtrail-control-110344 @ 2018-08-02 07:04:52+00:00 [aws:811596193553/us-east-1 / backup] backup describe ec2:image [allowed] (already cited: yes) || cloudtrail-control-110350 @ 2018-08-02 07:05:24+00:00 [aws:811596193553/ap-northeast-1 / backup] backup list dynamodb:table [denied] (already cited: yes) || cloudtrail-control-110355 @ 2018-08-02 07:05:25+00:00 [aws:811596193553/ap-northeast-1 / backup] backup list s3:bucket [allowed] (already cited: yes) || cloudtrail-control-110356 @ 2018-08-02 07:05:25+00:00 [aws:811596193553/ap-northeast-1 / backup] backup describe cloudformation:stack [denied] (already cited: yes),,0,
R010,attack_data_aws,CASE-002,5,"AWS-004 [HIGH] 'cloudmapper' was refused authorization 37 times in 284s, across 5 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-001224 cloudtrail-control-001222 cloudtrail-control-001220 cloudtrail-control-001219 cloudtrail-control-001204)","If the enumeration is adversarial, the abrupt end of activity at 13:35:10 with no observed successful action suggests the credential's permission boundary held and the operator either abandoned the principal or pivoted to a different identity; a search for other principals in account 731544447609 showing similar burst patterns shortly after 13:35 would test this.",cloudtrail-control-001204 cloudtrail-control-001224,2,cloudtrail-control-001204 @ 2021-04-13 13:35:10+00:00 [aws:731544447609/eu-north-1 / cloudmapper] cloudmapper get glue:trigger [denied] (already cited: yes) || cloudtrail-control-001224 @ 2021-04-13 13:30:36+00:00 [aws:731544447609/us-east-1 / cloudmapper] cloudmapper list kms:key-policy [denied] (already cited: yes),,0,
